period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,TOWNS,Non-motorcycle,<=60,Cross intersection,335,4,11.940298507462687,0.27169505271695055,27.169505271695055
2012–2014,TOWNS,Non-motorcycle,<=60,T intersection,227,3,13.215859030837004,0.1841038118410381,18.410381184103812
2012–2014,TOWNS,Non-motorcycle,70–80,Not at intersection,63,6,95.23809523809524,0.051094890510948905,5.109489051094891
2012–2014,TOWNS,Non-motorcycle,70–80,Cross intersection,22,0,0,0.017842660178426603,1.7842660178426604
2012–2014,TOWNS,Non-motorcycle,70–80,T intersection,54,1,18.51851851851852,0.043795620437956206,4.37956204379562
2012–2014,TOWNS,Non-motorcycle,>=90,Not at intersection,56,4,71.42857142857143,0.0454176804541768,4.5417680454176805
2012–2014,TOWNS,Non-motorcycle,>=90,Cross intersection,8,0,0,0.006488240064882401,0.6488240064882401
2012–2014,TOWNS,Non-motorcycle,>=90,T intersection,26,2,76.92307692307692,0.021086780210867802,2.10867802108678
2015–2017,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,85,5,58.8235294117647,0.302491103202847,30.2491103202847
2015–2017,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,64,4,62.5,0.2277580071174377,22.77580071174377
2015–2017,MELB_URBAN,Motorcycle-involved,<=60,T intersection,52,0,0,0.18505338078291814,18.505338078291814
2015–2017,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,42,0,0,0.1494661921708185,14.94661921708185
2015–2017,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,14,0,0,0.0498220640569395,4.98220640569395
2015–2017,MELB_URBAN,Motorcycle-involved,70–80,T intersection,15,0,0,0.05338078291814947,5.338078291814947
2015–2017,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,8,0,0,0.028469750889679714,2.8469750889679712
2015–2017,MELB_URBAN,Motorcycle-involved,>=90,T intersection,1,0,0,0.0035587188612099642,0.3558718861209964
2015–2017,MELB_URBAN,Non-motorcycle,<=60,Not at intersection,7579,93,12.270748119804724,0.2993049522154648,29.930495221546483
2015–2017,MELB_URBAN,Non-motorcycle,<=60,Cross intersection,4723,26,5.504975651069236,0.18651765263407313,18.651765263407313
2015–2017,MELB_URBAN,Non-motorcycle,<=60,T intersection,5326,41,7.698084866691701,0.2103309375246821,21.03309375246821
2015–2017,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,2864,44,15.363128491620111,0.11310323039254404,11.310323039254405
2015–2017,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,1609,20,12.430080795525171,0.06354158439301794,6.354158439301793
