period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000
2018–2020,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,754,16,21.220159151193634
2018–2020,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,209,2,9.569377990430622
2018–2020,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,226,1,4.424778761061947
2018–2020,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1358,37,27.245949926362297
2018–2020,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,311,13,41.80064308681672
2018–2020,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,385,6,15.584415584415584
2018–2020,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,3700,235,63.513513513513516
2018–2020,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,377,19,50.39787798408488
2018–2020,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,438,16,36.529680365296805
2018–2020,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,3,0,0
2018–2020,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,7,0,0
2018–2020,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,2,0,0
2018–2020,SMALL_CITIES,Motorcycle-involved,70–80,Not at intersection,1,0,0
2018–2020,SMALL_CITIES,Motorcycle-involved,70–80,Cross intersection,1,0,0
2018–2020,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,707,14,19.801980198019802
2018–2020,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,556,4,7.1942446043165464
2018–2020,SMALL_CITIES,Non-motorcycle,<=60,T intersection,392,6,15.306122448979592
2018–2020,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,95,5,52.63157894736842
2018–2020,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,55,0,0
2018–2020,SMALL_CITIES,Non-motorcycle,70–80,T intersection,77,0,0
2018–2020,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,43,1,23.25581395348837
2018–2020,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,3,0,0
2018–2020,SMALL_CITIES,Non-motorcycle,>=90,T intersection,5,1,200
2018–2020,TOWNS,Motorcycle-involved,<=60,Not at intersection,3,0,0
2018–2020,TOWNS,Motorcycle-involved,<=60,Cross intersection,3,0,0
2018–2020,TOWNS,Motorcycle-involved,<=60,T intersection,1,1,1000
2018–2020,TOWNS,Motorcycle-involved,70–80,Not at intersection,2,0,0
2018–2020,TOWNS,Motorcycle-involved,70–80,Cross intersection,2,0,0
2018–2020,TOWNS,Motorcycle-involved,70–80,T intersection,1,0,0
2018–2020,TOWNS,Non-motorcycle,<=60,Not at intersection,450,13,28.88888888888889
2018–2020,TOWNS,Non-motorcycle,<=60,Cross intersection,336,5,14.880952380952381
2018–2020,TOWNS,Non-motorcycle,<=60,T intersection,174,3,17.24137931034483
2018–2020,TOWNS,Non-motorcycle,70–80,Not at intersection,67,2,29.850746268656717
2018–2020,TOWNS,Non-motorcycle,70–80,Cross intersection,36,1,27.77777777777778
2018–2020,TOWNS,Non-motorcycle,70–80,T intersection,33,0,0
2018–2020,TOWNS,Non-motorcycle,>=90,Not at intersection,37,0,0
2018–2020,TOWNS,Non-motorcycle,>=90,Cross intersection,4,0,0
2018–2020,TOWNS,Non-motorcycle,>=90,T intersection,10,1,100
2021–2023,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,85,1,11.764705882352942
2021–2023,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,66,2,30.303030303030305
2021–2023,MELB_URBAN,Motorcycle-involved,<=60,T intersection,46,1,21.73913043478261
2021–2023,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,43,1,23.25581395348837
2021–2023,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,13,0,0
2021–2023,MELB_URBAN,Motorcycle-involved,70–80,T intersection,21,0,0
2021–2023,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,16,0,0
2021–2023,MELB_URBAN,Motorcycle-involved,>=90,T intersection,1,0,0
