period,geo4,hv_group,geom_group,crashes,fatalities,fatal_per_1000
2021–2023,SMALL_CITIES,Heavy-vehicle involved,T intersection,54,0,0
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,7,0,0
2021–2023,SMALL_CITIES,Other-vehicle,Not at intersection,893,21,23.516237402015676
2021–2023,SMALL_CITIES,Other-vehicle,Cross intersection,641,3,4.6801872074882995
2021–2023,SMALL_CITIES,Other-vehicle,T intersection,444,4,9.00900900900901
2021–2023,SMALL_CITIES,Other-vehicle,Other/Unknown,44,0,0
2021–2023,TOWNS,Heavy-vehicle involved,Not at intersection,71,1,14.084507042253522
2021–2023,TOWNS,Heavy-vehicle involved,Cross intersection,43,1,23.25581395348837
2021–2023,TOWNS,Heavy-vehicle involved,T intersection,30,0,0
2021–2023,TOWNS,Heavy-vehicle involved,Other/Unknown,4,0,0
2021–2023,TOWNS,Other-vehicle,Not at intersection,608,6,9.868421052631579
2021–2023,TOWNS,Other-vehicle,Cross intersection,353,6,16.997167138810198
2021–2023,TOWNS,Other-vehicle,T intersection,240,9,37.5
2021–2023,TOWNS,Other-vehicle,Other/Unknown,34,0,0
2024–2025,MELB_URBAN,Heavy-vehicle involved,Not at intersection,473,8,16.913319238900634
2024–2025,MELB_URBAN,Heavy-vehicle involved,Cross intersection,304,2,6.578947368421052
2024–2025,MELB_URBAN,Heavy-vehicle involved,T intersection,302,2,6.622516556291391
2024–2025,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,18,0,0
2024–2025,MELB_URBAN,Other-vehicle,Not at intersection,2678,37,13.816280806572069
2024–2025,MELB_URBAN,Other-vehicle,Cross intersection,1529,13,8.502289077828646
2024–2025,MELB_URBAN,Other-vehicle,T intersection,1472,21,14.266304347826088
2024–2025,MELB_URBAN,Other-vehicle,Other/Unknown,81,0,0
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,53,4,75.47169811320755
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,10,0,0
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,16,0,0
2024–2025,RURAL_VICTORIA,Other-vehicle,Not at intersection,1680,87,51.785714285714285
2024–2025,RURAL_VICTORIA,Other-vehicle,Cross intersection,290,9,31.03448275862069
2024–2025,RURAL_VICTORIA,Other-vehicle,T intersection,364,5,13.736263736263735
2024–2025,RURAL_VICTORIA,Other-vehicle,Other/Unknown,27,0,0
2024–2025,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,29,1,34.48275862068966
2024–2025,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,25,0,0
2024–2025,SMALL_CITIES,Heavy-vehicle involved,T intersection,17,0,0
2024–2025,SMALL_CITIES,Other-vehicle,Not at intersection,195,6,30.76923076923077
2024–2025,SMALL_CITIES,Other-vehicle,Cross intersection,157,2,12.738853503184714
2024–2025,SMALL_CITIES,Other-vehicle,T intersection,127,1,7.874015748031496
2024–2025,SMALL_CITIES,Other-vehicle,Other/Unknown,6,1,166.66666666666666
2024–2025,TOWNS,Heavy-vehicle involved,Not at intersection,14,0,0
2024–2025,TOWNS,Heavy-vehicle involved,Cross intersection,13,0,0
2024–2025,TOWNS,Heavy-vehicle involved,T intersection,11,1,90.9090909090909
2024–2025,TOWNS,Other-vehicle,Not at intersection,133,4,30.075187969924812
2024–2025,TOWNS,Other-vehicle,Cross intersection,93,1,10.75268817204301
2024–2025,TOWNS,Other-vehicle,T intersection,43,2,46.51162790697674
2024–2025,TOWNS,Other-vehicle,Other/Unknown,5,0,0
