period,geo4,hv_group,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2018–2020,TOWNS,Heavy-vehicle involved,Other/Unknown,2,0,0,0.016,1.6
2018–2020,TOWNS,Other-vehicle,Not at intersection,526,14,26.61596958174905,0.47774750227066304,47.774750227066306
2018–2020,TOWNS,Other-vehicle,Cross intersection,352,5,14.204545454545455,0.31970935513169846,31.970935513169845
2018–2020,TOWNS,Other-vehicle,T intersection,198,5,25.252525252525253,0.17983651226158037,17.983651226158038
2018–2020,TOWNS,Other-vehicle,Other/Unknown,25,0,0,0.022706630336058128,2.2706630336058127
2021–2023,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1776,14,7.882882882882883,0.44701736722879437,44.70173672287944
2021–2023,MELB_URBAN,Heavy-vehicle involved,Cross intersection,1074,9,8.379888268156424,0.27032469166876416,27.032469166876417
2021–2023,MELB_URBAN,Heavy-vehicle involved,T intersection,1039,4,3.8498556304138596,0.2615152277875661,26.151522778756608
2021–2023,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,84,0,0,0.021142713314875407,2.1142713314875405
2021–2023,MELB_URBAN,Other-vehicle,Not at intersection,11648,124,10.645604395604396,0.4977139682946631,49.771396829466305
2021–2023,MELB_URBAN,Other-vehicle,Cross intersection,5547,50,9.013881377321075,0.23702089475708243,23.70208947570824
2021–2023,MELB_URBAN,Other-vehicle,T intersection,5555,58,10.441044104410441,0.2373627312737683,23.73627312737683
2021–2023,MELB_URBAN,Other-vehicle,Other/Unknown,653,5,7.656967840735069,0.027902405674486177,2.7902405674486177
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,201,10,49.75124378109453,0.6883561643835616,68.83561643835617
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,38,2,52.63157894736842,0.13013698630136986,13.013698630136986
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,45,4,88.88888888888889,0.1541095890410959,15.41095890410959
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,8,0,0,0.0273972602739726,2.73972602739726
2021–2023,RURAL_VICTORIA,Other-vehicle,Not at intersection,6929,314,45.316784528792034,0.7305989034162801,73.059890341628
2021–2023,RURAL_VICTORIA,Other-vehicle,Cross intersection,1089,56,51.423324150596876,0.11482496836777731,11.482496836777731
2021–2023,RURAL_VICTORIA,Other-vehicle,T intersection,1244,37,29.742765273311896,0.13116828342471532,13.116828342471532
2021–2023,RURAL_VICTORIA,Other-vehicle,Other/Unknown,222,5,22.52252252252252,0.02340784479122733,2.3407844791227332
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,110,0,0,0.39568345323741005,39.568345323741006
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,107,0,0,0.38489208633093525,38.489208633093526
2021–2023,SMALL_CITIES,Heavy-vehicle involved,T intersection,54,0,0,0.19424460431654678,19.424460431654676
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,7,0,0,0.025179856115107913,2.5179856115107913
2021–2023,SMALL_CITIES,Other-vehicle,Not at intersection,893,21,23.516237402015676,0.4416419386745796,44.16419386745796
