period,geo4,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2021–2023,TOWNS,T intersection,270,9,33.333333333333336,0.19522776572668113,19.522776572668114
2021–2023,TOWNS,Other/Unknown,38,0,0,0.0274765003615329,2.74765003615329
2024–2025,MELB_URBAN,Not at intersection,3151,45,14.281180577594414,0.45953040688347674,45.95304068834768
2024–2025,MELB_URBAN,Cross intersection,1833,15,8.183306055646481,0.26731806912644013,26.731806912644014
2024–2025,MELB_URBAN,T intersection,1774,23,12.965050732807216,0.25871372320256675,25.871372320256675
2024–2025,MELB_URBAN,Other/Unknown,99,0,0,0.014437800787516407,1.4437800787516406
2024–2025,RURAL_VICTORIA,Not at intersection,1733,91,52.510098095787654,0.7102459016393443,71.02459016393443
2024–2025,RURAL_VICTORIA,Cross intersection,300,9,30,0.12295081967213115,12.295081967213115
2024–2025,RURAL_VICTORIA,T intersection,380,5,13.157894736842104,0.1557377049180328,15.573770491803279
2024–2025,RURAL_VICTORIA,Other/Unknown,27,0,0,0.011065573770491803,1.1065573770491803
2024–2025,SMALL_CITIES,Not at intersection,224,7,31.25,0.4028776978417266,40.28776978417266
2024–2025,SMALL_CITIES,Cross intersection,182,2,10.989010989010989,0.3273381294964029,32.73381294964029
2024–2025,SMALL_CITIES,T intersection,144,1,6.944444444444445,0.2589928057553957,25.899280575539567
2024–2025,SMALL_CITIES,Other/Unknown,6,1,166.66666666666666,0.01079136690647482,1.079136690647482
2024–2025,TOWNS,Not at intersection,147,4,27.210884353741495,0.47115384615384615,47.11538461538461
2024–2025,TOWNS,Cross intersection,106,1,9.433962264150944,0.33974358974358976,33.97435897435898
2024–2025,TOWNS,T intersection,54,3,55.55555555555556,0.17307692307692307,17.307692307692307
2024–2025,TOWNS,Other/Unknown,5,0,0,0.016025641025641024,1.6025641025641024
