period,geo4,light_cat,crashes,share,share_pct
2018–2020,RURAL_VICTORIA,Dark—Unlighted,13,0.0014937377915661266,0.14937377915661265
2018–2020,RURAL_VICTORIA,Other/Unknown,1799,0.2067103297713432,20.67103297713432
2018–2020,SMALL_CITIES,Daylight,1527,0.7337818356559347,73.37818356559347
2018–2020,SMALL_CITIES,Dusk/Dawn,108,0.05189812590100913,5.189812590100913
2018–2020,SMALL_CITIES,Dark—Lighted,333,0.1600192215281115,16.001922152811147
2018–2020,SMALL_CITIES,Dark—Unlighted,5,0.002402691013935608,0.2402691013935608
2018–2020,SMALL_CITIES,Other/Unknown,108,0.05189812590100913,5.189812590100913
2018–2020,TOWNS,Daylight,909,0.7414355628058727,74.14355628058728
2018–2020,TOWNS,Dusk/Dawn,56,0.04567699836867863,4.567699836867863
2018–2020,TOWNS,Dark—Lighted,155,0.1264274061990212,12.64274061990212
2018–2020,TOWNS,Dark—Unlighted,1,8.156606851549756e-4,0.08156606851549755
2018–2020,TOWNS,Other/Unknown,105,0.08564437194127243,8.564437194127244
2021–2023,MELB_URBAN,Daylight,17893,0.6536016949152542,65.36016949152543
2021–2023,MELB_URBAN,Dusk/Dawn,2332,0.08518410286382233,8.518410286382233
2021–2023,MELB_URBAN,Dark—Lighted,5208,0.190239625949737,19.0239625949737
2021–2023,MELB_URBAN,Dark—Unlighted,55,0.0020090590298071304,0.20090590298071304
2021–2023,MELB_URBAN,Other/Unknown,1888,0.06896551724137931,6.896551724137931
2021–2023,RURAL_VICTORIA,Daylight,6745,0.689954991816694,68.9954991816694
2021–2023,RURAL_VICTORIA,Dusk/Dawn,767,0.07845744680851063,7.845744680851063
2021–2023,RURAL_VICTORIA,Dark—Lighted,430,0.043985270049099835,4.398527004909983
2021–2023,RURAL_VICTORIA,Dark—Unlighted,20,0.0020458265139116204,0.20458265139116205
2021–2023,RURAL_VICTORIA,Other/Unknown,1814,0.18555646481178395,18.555646481178396
2021–2023,SMALL_CITIES,Daylight,1616,0.7026086956521739,70.26086956521739
2021–2023,SMALL_CITIES,Dusk/Dawn,175,0.07608695652173914,7.608695652173914
2021–2023,SMALL_CITIES,Dark—Lighted,350,0.15217391304347827,15.217391304347828
2021–2023,SMALL_CITIES,Dark—Unlighted,6,0.0026086956521739132,0.26086956521739135
2021–2023,SMALL_CITIES,Other/Unknown,153,0.06652173913043478,6.6521739130434785
2021–2023,TOWNS,Daylight,1023,0.7396963123644251,73.96963123644251
2021–2023,TOWNS,Dusk/Dawn,89,0.064352856109906,6.4352856109906
2021–2023,TOWNS,Dark—Lighted,168,0.12147505422993492,12.147505422993492
2021–2023,TOWNS,Dark—Unlighted,1,7.230657989877079e-4,0.07230657989877079
2021–2023,TOWNS,Other/Unknown,102,0.0737527114967462,7.37527114967462
2024–2025,MELB_URBAN,Daylight,4568,0.6661805454280297,66.61805454280298
2024–2025,MELB_URBAN,Dusk/Dawn,475,0.06927227650576054,6.927227650576054
2024–2025,MELB_URBAN,Dark—Lighted,1431,0.20869184774682806,20.869184774682807
2024–2025,MELB_URBAN,Dark—Unlighted,26,0.0037917456613679452,0.3791745661367945
2024–2025,MELB_URBAN,Other/Unknown,357,0.05206358465801371,5.206358465801371
2024–2025,RURAL_VICTORIA,Daylight,1651,0.6766393442622951,67.66393442622952
2024–2025,RURAL_VICTORIA,Dusk/Dawn,173,0.0709016393442623,7.09016393442623
2024–2025,RURAL_VICTORIA,Dark—Lighted,141,0.05778688524590164,5.778688524590164
2024–2025,RURAL_VICTORIA,Dark—Unlighted,5,0.0020491803278688526,0.20491803278688525
2024–2025,RURAL_VICTORIA,Other/Unknown,470,0.19262295081967212,19.262295081967213
2024–2025,SMALL_CITIES,Daylight,407,0.7320143884892086,73.20143884892086
2024–2025,SMALL_CITIES,Dusk/Dawn,31,0.05575539568345324,5.575539568345324
2024–2025,SMALL_CITIES,Dark—Lighted,88,0.15827338129496402,15.827338129496402
2024–2025,SMALL_CITIES,Dark—Unlighted,1,0.0017985611510791368,0.1798561151079137
2024–2025,SMALL_CITIES,Other/Unknown,29,0.052158273381294966,5.215827338129497
2024–2025,TOWNS,Daylight,217,0.6955128205128205,69.55128205128204
2024–2025,TOWNS,Dusk/Dawn,24,0.07692307692307693,7.6923076923076925
2024–2025,TOWNS,Dark—Lighted,48,0.15384615384615385,15.384615384615385
2024–2025,TOWNS,Other/Unknown,23,0.07371794871794872,7.371794871794872
